,#,Coin,,Price,1h,24h,7d,30d,24h Volume,Market Cap,FDV,Market Cap / FDV,Last 7 Days
,125,Beldex                          BDX,Buy,$0.08087,0.4%,0.3%,1.4%,11.7%,"$8,434,883","$615,032,820","$803,477,575",0.77,
,124,clBTC                          CLBTC,Buy,"$79,603.10",1.7%,0.6%,8.3%,12.0%,"$7,462.25","$614,791,985","$614,791,985",1.0,
,126,Arbitrum Bridged WBTC (Arbitrum One)                          WBTC,Buy,"$77,886.71",0.2%,0.3%,11.1%,14.4%,"$163,270,780","$610,210,590","$610,210,590",1.0,
,127,Sei                          SEI,Buy,$0.08900,0.2%,1.7%,15.0%,28.8%,"$52,072,799","$589,341,148","$891,290,595",0.66,
,128,Usual USD                          USD0,,$0.9940,0.2%,0.3%,0.0%,0.3%,"$3,310,125","$577,412,474","$577,412,595",1.0,
,129,Wrapped Flare                          WFLR,,$0.01008,0.4%,0.9%,3.9%,11.9%,"$4,593,591","$574,637,077","$574,637,077",1.0,
,130,Janus Henderson Anemoy Treasury Fund                          JTRSY,,$1.09,0.0%,0.0%,0.0%,0.3%,$0.00,"$566,481,128","$566,481,128",1.0,
,131,Stacks                          STX,Buy,$0.3161,2.0%,18.7%,7.8%,4.4%,"$77,413,442","$560,088,772","$560,088,772",1.0,
,132,L2 Standard Bridged WETH (Base)                          WETH,Buy,"$2,301.07",0.1%,0.6%,20.9%,26.6%,"$523,656,075","$556,167,143","$556,167,143",1.0,
,133,Dash                          DASH,Buy,$43.84,0.1%,1.5%,27.3%,2.2%,"$99,978,544","$551,796,388","$551,796,388",1.0,
,134,StakeWise Staked ETH                          OSETH,Buy,"$2,444.77",0.1%,1.7%,21.0%,25.9%,"$245,180","$533,976,973","$533,976,973",1.0,
,135,PancakeSwap                          CAKE,Buy,$1.58,0.1%,1.7%,16.1%,22.6%,"$40,764,094","$526,627,393","$547,754,354",0.96,
,136,Binance-Peg XRP                          XRP,Buy,$1.61,0.1%,2.2%,14.3%,23.4%,"$2,193,162","$523,360,604","$523,360,604",1.0,
,138,Renzo Restaked ETH                          EZETH,Buy,"$2,457.51",0.1%,0.7%,21.2%,26.6%,"$261,795","$522,119,851","$522,119,851",1.0,
,139,Tezos                          XTZ,Buy,$0.4844,0.7%,3.3%,12.3%,12.5%,"$20,338,977","$520,126,170","$529,839,712",0.98,
,137,​​Stable                          STABLE,,$0.02888,3.3%,3.6%,33.8%,77.0%,"$62,116,549","$519,903,802","$2,888,354,456",0.18,
,140,GHO                          GHO,Buy,$0.9995,0.0%,0.0%,0.0%,0.0%,"$17,535,603","$508,336,697","$508,336,697",1.0,
,141,Jupiter Staked SOL                          JUPSOL,Buy,$119.96,0.2%,0.2%,16.3%,23.1%,"$4,184,760","$502,910,054","$502,910,054",1.0,
,142,Story                          IP,Buy,$1.42,1.3%,1.7%,33.1%,33.6%,"$86,190,350","$495,624,397","$1,449,809,589",0.34,
,143,TrueUSD                          TUSD,,$0.9981,0.0%,0.1%,0.0%,0.0%,"$6,890,111","$493,613,096","$493,613,096",1.0,
,144,A7A5                          A7A5,,$0.01251,2.8%,3.2%,4.4%,2.9%,"$5,027.55","$490,400,361","$490,400,361",1.0,
,145,Pudgy Penguins                          PENGU,Buy,$0.007652,0.2%,1.5%,19.2%,40.0%,"$97,804,673","$481,367,540","$610,719,242",0.79,
,146,tBTC                          TBTC,Buy,"$77,840.99",0.5%,0.4%,11.1%,14.7%,"$7,042,649","$475,118,284","$475,119,086",1.0,
,147,Fasttoken                          FTN,Buy,$1.09,0.1%,0.0%,0.2%,0.0%,"$10,440,592","$472,060,830","$947,425,388",0.5,
,148,Arbitrum Bridged WETH (Arbitrum One)                          WETH,Buy,"$2,295.51",0.2%,0.8%,21.1%,26.8%,"$286,867,236","$460,076,823","$460,076,823",1.0,
,149,Chiliz                          CHZ,,$0.04457,0.1%,3.9%,17.5%,0.4%,"$73,689,164","$457,656,194","$457,656,194",1.0,
,150,Optimism                          OP,Buy,$0.2291,0.1%,0.8%,22.2%,28.0%,"$55,653,774","$445,755,479","$984,780,924",0.45,
,151,First Digital USD                          FDUSD,,$0.9981,0.0%,0.0%,0.1%,0.0%,"$116,465,473","$443,153,838","$443,153,838",1.0,
,152,c8ntinuum                          CTM,,$0.1009,0.0%,0.1%,16.0%,20.7%,"$1,134,320","$440,295,129","$897,739,805",0.49,
,153,Virtuals Protocol                          VIRTUAL,Buy,$0.6555,0.1%,1.4%,17.3%,25.7%,"$69,399,414","$429,648,439","$654,669,840",0.66,
,154,Curve DAO                          CRV,Buy,$0.2859,0.2%,0.7%,16.0%,32.3%,"$56,291,331","$421,826,831","$672,349,143",0.63,
,155,EURC                          EURC,,$1.18,0.0%,0.4%,1.2%,0.7%,"$32,996,190","$421,565,506","$421,565,506",1.0,
,156,Artificial Superintelligence Alliance                          FET,Buy,$0.1823,0.1%,1.2%,16.9%,29.3%,"$46,957,241","$417,493,097","$495,499,699",0.84,
,157,USDB                          USDB,,$0.9960,0.4%,0.5%,1.5%,0.6%,"$149,541","$404,707,015","$404,707,015",1.0,
,158,Lighter                          LIT,,$1.62,0.7%,3.4%,12.2%,37.4%,"$53,892,676","$404,686,746","$1,618,746,985",0.25,
,159,Resolv USR                          USR,,$0.9984,0.1%,0.1%,0.1%,0.2%,"$490,527","$394,961,936","$394,961,936",1.0,
,160,Resolv wstUSR                          WSTUSR,,$1.13,0.0%,0.0%,0.1%,0.3%,"$1,172,619","$388,359,862","$388,359,862",1.0,
,161,GTETH                          GTETH,Buy,"$2,302.94",0.1%,0.5%,20.8%,26.6%,"$86,642.39","$387,133,262","$387,133,262",1.0,
,162,Lorenzo Wrapped Bitcoin                          ENZOBTC,,"$78,318.69",0.0%,1.5%,13.4%,13.4%,$7.06,"$386,218,220","$386,218,220",1.0,
,163,DoubleZero                          2Z,Buy,$0.1105,0.1%,1.7%,5.5%,13.2%,"$10,696,658","$383,787,048","$1,105,562,922",0.35,
,164,Kinesis Gold                          KAU,,$158.14,0.4%,4.8%,3.4%,13.7%,"$1,582,893","$377,362,021","$377,362,021",1.0,
,165,LayerZero                          ZRO,,$1.84,0.6%,2.3%,3.4%,32.7%,"$82,559,432","$373,437,621","$1,842,962,109",0.2,
,166,Steakhouse USDC Morpho Vault                          STEAKUSDC,,$1.12,0.0%,0.0%,0.1%,0.3%,$6.97,"$371,301,453","$371,295,478",1.0,
,167,JUST                          JST,Buy,$0.04186,0.3%,0.5%,6.8%,5.6%,"$24,592,664","$369,225,746","$369,225,746",1.0,
,168,Injective                          INJ,Buy,$3.68,0.2%,0.3%,15.5%,27.6%,"$41,740,442","$368,308,304","$368,308,304",1.0,
,169,Aerodrome Finance                          AERO,Buy,$0.3969,0.1%,0.5%,10.1%,31.3%,"$20,041,193","$363,624,717","$726,920,769",0.5,
,170,Ether.Fi Liquid ETH                          LIQUIDETH,Buy,"$2,482.27",0.3%,0.3%,20.7%,26.7%,"$3,512.51","$362,411,083","$362,411,083",1.0,
,171,Maple Finance                          SYRUP,Buy,$0.3098,0.3%,4.2%,7.3%,13.9%,"$18,366,998","$358,590,500","$376,868,397",0.95,
,173,Sun Token                          SUN,Buy,$0.01854,0.4%,7.0%,3.6%,6.9%,"$39,185,504","$356,397,386","$369,292,136",0.97,
,172,Kaia                          KAIA,Buy,$0.06073,1.2%,7.8%,14.6%,0.5%,"$34,787,447","$356,155,530","$356,155,541",1.0,
,174,sBTC                          SBTC,Buy,"$78,345.70",0.6%,0.7%,10.9%,14.3%,"$223,113","$355,952,415","$355,952,415",1.0,
,175,Lido DAO                          LDO,Buy,$0.4164,0.0%,1.6%,18.4%,34.0%,"$29,267,931","$353,557,836","$416,898,568",0.85,
,176,Ether.fi                          ETHFI,Buy,$0.5006,0.3%,0.6%,14.7%,36.2%,"$33,065,951","$350,609,757","$500,592,981",0.7,
,177,Marinade Staked SOL                          MSOL,Buy,$139.33,0.1%,0.2%,16.4%,23.2%,"$5,223,255","$347,825,825","$347,723,695",1.0,
,178,AINFT                          NFT,Buy,$0.063495,0.1%,4.0%,0.7%,3.7%,"$12,384,213","$346,008,891","$346,008,891",1.0,
,179,BitTorrent                          BTT,Buy,$0.063486,0.2%,1.0%,13.0%,16.8%,"$13,838,032","$344,110,304","$345,142,984",1.0,
,180,FLOKI                          FLOKI,Buy,$0.00003552,0.0%,0.8%,13.7%,39.2%,"$41,880,090","$343,287,911","$355,548,979",0.97,
,181,Savings USDD                          SUSDD,,$1.03,0.0%,0.1%,-,-,"$1,437,916","$338,819,214","$338,819,214",1.0,
,182,Coinbase Wrapped Staked ETH                          CBETH,Buy,"$2,576.73",0.2%,1.6%,20.9%,26.6%,"$4,770,921","$328,256,294","$963,865,276",0.34,
